mgen_id	sample_id	plate_number	plate_well	filename_r1	filename_r2	mgen_library_notes	sra_accession
SS01000	SS01000	1	A01	2019-08-21/Mg1A01_S1_R1_001.fastq.gz	2019-08-21/Mg1A01_S1_R2_001.fastq.gz		SRR14874834
SS01001	SS01001	1	A02	2019-08-21/Mg1A02_S2_R1_001.fastq.gz	2019-08-21/Mg1A02_S2_R2_001.fastq.gz		SRR14874833
SS01004	SS01004	1	A03	2019-08-21/Mg1A03_S3_R1_001.fastq.gz	2019-08-21/Mg1A03_S3_R2_001.fastq.gz		SRR14874758
SS01005	SS01005	1	A04	2019-08-21/Mg1A04_S4_R1_001.fastq.gz	2019-08-21/Mg1A04_S4_R2_001.fastq.gz		SRR14874747
SS01002	SS01002	1	A05	2019-08-21/Mg1A05_S5_R1_001.fastq.gz	2019-08-21/Mg1A05_S5_R2_001.fastq.gz		SRR14874736
SS01007	SS01007	1	A06	2019-08-21/Mg1A06_S6_R1_001.fastq.gz	2019-08-21/Mg1A06_S6_R2_001.fastq.gz		SRR14874725
SS01006	SS01006	1	A07	2019-08-21/Mg1A07_S7_R1_001.fastq.gz	2019-08-21/Mg1A07_S7_R2_001.fastq.gz		SRR14874714
SS01009	SS01009	1	A08	2019-08-21/Mg1A08_S8_R1_001.fastq.gz	2019-08-21/Mg1A08_S8_R2_001.fastq.gz		SRR14874703
SS01008	SS01008	1	A09	2019-08-21/Mg1A09_S9_R1_001.fastq.gz	2019-08-21/Mg1A09_S9_R2_001.fastq.gz		SRR14874692
SS01011	SS01011	1	A10	2019-08-21/Mg1A10_S10_R1_001.fastq.gz	2019-08-21/Mg1A10_S10_R2_001.fastq.gz		SRR14874681
SS01013	SS01013	1	A11	2019-08-21/Mg1A11_S11_R1_001.fastq.gz	2019-08-21/Mg1A11_S11_R2_001.fastq.gz		SRR14874832
SS01012	SS01012	1	A12	2019-08-21/Mg1A12_S12_R1_001.fastq.gz	2019-08-21/Mg1A12_S12_R2_001.fastq.gz		SRR14874821
SS01015	SS01015	1	B01	2019-08-21/Mg1B01_S13_R1_001.fastq.gz	2019-08-21/Mg1B01_S13_R2_001.fastq.gz		SRR14874810
SS01016	SS01016	1	B02	2019-08-21/Mg1B02_S14_R1_001.fastq.gz	2019-08-21/Mg1B02_S14_R2_001.fastq.gz		SRR14874799
SS01019	SS01019	1	B03	2019-08-21/Mg1B03_S15_R1_001.fastq.gz	2019-08-21/Mg1B03_S15_R2_001.fastq.gz		SRR14874788
SS01017	SS01017	1	B04	2019-08-21/Mg1B04_S16_R1_001.fastq.gz	2019-08-21/Mg1B04_S16_R2_001.fastq.gz		SRR14874777
SS01018	SS01018	1	B05	2019-08-21/Mg1B05_S17_R1_001.fastq.gz	2019-08-21/Mg1B05_S17_R2_001.fastq.gz		SRR14874766
